year	doy	hour	Tair	Tsoil	RH	VPD	Rain	WS	PAR	CO2
2021	1	0	-3.5	1.305	40	282.9898455	0	0	-3.855	416.11
2021	1	1	-3.7	1.294	44	260.1896631	0	0	-4.6575	416.11
2021	1	2	-3.1	1.2015	37	306.1695079	0	0	-5.781	416.11
2021	1	3	-3.4	1.184	44	266.1106428	0	0	-3.534	416.11
2021	1	4	-4.9	1.1025	56	186.7297744	0	0	-4.818	416.11
2021	1	5	-5.9	1.1	64	141.5687647	0	0	-5.139	416.11
2021	1	6	-6.5	1.1	70	112.6655038	0	0	12.3555	416.11
2021	1	7	-4.9	1.06	65	148.5350478	0	0	106.569	416.11
2021	1	8	-0.4	1.07	38	367.8126809	0	0	598.1805	416.11
2021	1	9	2	1.099	21	557.456733	0	0	861.7215	416.11
2021	1	10	2.1	1.1	19	575.6729879	0	0	1034.58	416.11
2021	1	11	3.8	1.101	21	633.4881856	0.1	0	1067.964	416.11
2021	1	12	4.7	1.1855	20	683.3690927	0	0	979.2075	416.11
2021	1	13	4	1.2525	14	699.4045424	0	0	643.602	416.11
2021	1	14	3.9	1.301	17	670.2704507	0	0	73.185	416.11
2021	1	15	2.7	1.3015	20	593.4265933	0	0	43.4925	416.11
2021	1	16	1.5	1.3	34	449.3194159	0	0	2.4045	416.11
2021	1	17	0.5	1.3	44	354.6967166	0	0	-1.1265	416.11
2021	1	18	-1.2	1.3	49	285.3306417	0	0	-0.966	416.11
2021	1	19	-1.6	1.3	57	233.5896004	0	0	-1.4475	416.11
2021	1	20	-2.2	1.3	56	228.6474265	0	0	-0.966	416.11
2021	1	21	-2.7	1.3	56	220.3086308	0	0	-2.4105	416.11
2021	1	22	-2.9	1.3	60	197.3175117	0	0	-2.892	416.11
2021	1	23	-3.5	1.29	61	183.9433996	0	0	-2.25	416.11
2021	2	0	-3.8	1.216	65	161.401317	0	0	-2.892	416.11
2021	2	1	-4.1	1.226	68	144.2724051	0	0	-3.3735	416.11
2021	2	2	-4.4	1.2755	72	123.4128344	0	0	-2.892	416.11
2021	2	3	-4.5	1.2675	73	118.1091189	0	0	-3.534	416.11
2021	2	4	-4.4	1.204	78	96.96722704	0	0	-3.0525	416.11
2021	2	5	-4.5	1.2	72	122.4835307	0	0	-3.0525	416.11
2021	2	6	-4.9	1.2	74	110.3403213	0	0	10.7505	416.11
2021	2	7	-3.6	1.2	70	140.4376184	0	0	99.507	416.11
2021	2	8	1.5	1.206	44	381.2407165	0	0	653.7135	416.11
2021	2	9	5	1.296	31	601.8945626	0	0	805.8675	416.11
2021	2	10	7.2	1.32	29	721.1474915	0	0	921.588	416.11
2021	2	11	6.6	1.386	26	721.2568779	0	0	924.3165	416.11
2021	2	12	7.4	1.4	24	782.5804467	0	0	897.0315	416.11
2021	2	13	6	1.4765	26	691.9809585	0	0	575.3895	416.11
2021	2	14	5.4	1.499	25	672.7270424	0	0	93.8895	416.11
2021	2	15	4.9	1.501	31	597.7059769	0	0	56.493	416.11
2021	2	16	3.6	1.4175	42	458.5753368	0	0	7.8615	416.11
2021	2	17	1.7	1.4	53	324.5981622	0	0	-2.4105	416.11
2021	2	18	0.4	1.4	62	238.9483428	0	0	-5.139	416.11
2021	2	19	0	1.4	65	213.78	0	0	-2.571	416.11
2021	2	20	-0.2	1.4	68	192.6292963	0	0	2.244	416.11
2021	2	21	0.3	1.4	67	206.0074853	0	0	-4.0155	416.11
2021	2	22	0.5	1.401	69	196.3499681	0	0	1.281	416.11
2021	2	23	0.9	1.439	69	202.1153312	0	0	-0.645	416.11
2021	3	0	0.8	1.496	74	168.2956013	0	0	0.639	416.11
